area,solidity,max_intensity,prediction
2471,0.7989007436146136,936,0
2620,0.7365757660950238,924,0
5774,0.8095905776780706,846,0
5617,0.7595672751859365,887,0
10081,0.8148896613046641,1006,0
1554,0.7456813819577736,920,0
4998,0.8780744905130007,799,0
727,0.4699418228829993,868,4
1938,0.5733727810650887,868,4
6072,0.6657894736842105,840,0
4013,0.8005186515060841,908,5
4129,0.8267921505806969,904,0
3853,0.7300113679424024,912,5
4516,0.6268739589117157,833,0
3399,0.8065970574276222,899,5
3286,0.8129638792676893,945,0
3139,0.7742969906265417,956,5
1904,0.553006099331978,978,4
4972,0.7077580071174377,865,0
6464,0.7958630879093819,848,0
8822,0.8381151434543036,762,0
3962,0.8378092620004229,759,0
4310,0.8247225411404516,912,0
1623,0.5749202975557917,945,0
4688,0.8140302135787463,936,0
3177,0.7553495007132668,1038,5
5343,0.6993455497382199,854,0
3354,0.7415432235242096,1130,5
3103,0.7292596944770858,911,0
5633,0.7958462842610907,1012,5
4461,0.7732709308372335,1031,5
5056,0.6828741220961643,943,4
5856,0.8155988857938719,787,0
2429,0.795350360183366,907,0
2807,0.8119757014752675,892,0
1283,0.7489784004670169,874,0
4160,0.8331664330062087,1064,5
5475,0.7314629258517034,885,0
10352,0.8528587905750535,1006,0
3784,0.7914662204559716,925,0
6936,0.8081090527787487,881,0
3870,0.7861060329067642,874,0
3154,0.770772238514174,886,0
3027,0.7878709005726184,1043,0
6254,0.7307782192100958,838,0
3227,0.7824927255092143,993,5
9395,0.8053317332418996,821,0
1888,0.6562391379909628,1045,0
6840,0.7582307948121051,763,0
8052,0.829504481302153,942,0
4486,0.7451827242524917,941,5
2395,0.7106824925816023,755,0
1852,0.6938928437617085,874,0
4623,0.835230352303523,825,0
3360,0.7743719751094722,858,0
5295,0.8386126069052898,799,0
2002,0.7360294117647059,1016,5
5727,0.8243846264574637,819,0
1890,0.7630197819943481,963,0
4292,0.8544694405733625,917,0
2571,0.7615521327014217,908,0
2904,0.75625,879,5
5425,0.7538910505836576,782,0
5599,0.7411967169711411,947,5
2352,0.7107887579329103,795,0
3685,0.7909422622880447,880,0
8368,0.8645521231532183,788,0
10071,0.7867354112959924,1077,5
3806,0.8853221679460339,802,0
1919,0.6843794579172611,767,0
2787,0.7608517608517609,944,0
2755,0.7401934443847394,937,0
4089,0.7868000769674812,848,0
2251,0.7762068965517241,899,0
3018,0.7596274855273093,920,5
3922,0.7800318217979316,967,5
4197,0.6520118067422712,994,4
2786,0.7527695217508782,811,0
4695,0.8361531611754229,980,0
1838,0.7154534838458544,903,0
3862,0.8220519369944658,901,5
2180,0.7716814159292036,995,0
1314,0.5703125,914,4
1767,0.7247744052502051,966,0
3739,0.806688241639698,949,0
4353,0.8193111236589498,1064,5
6302,0.698127838706104,1028,5
11621,0.8941982148353339,823,1
2854,0.7600532623169108,890,0
2098,0.7021419009370816,1035,5
3877,0.7355340542591539,967,5
1951,0.7588486970050564,1076,5
3094,0.7669806643529995,1183,5
4264,0.6555965559655597,1014,4
3802,0.7784602784602784,888,5
5129,0.8201151263191557,1000,5
9009,0.8515122873345936,930,0
2278,0.7756213823629554,786,0
